f,sscd21,sscd11,sscc21,sscc11,ssdd21,ssdd11,s11,s21,s12,s22
1304609218.4368737,(0.004621413098786775+0.0033798576144136727j),(-0.011746325543034758+0.006523738949045461j),(-0.5747167827787871-0.775129911234886j),(-0.09685814306826715+0.06604328043153937j),(-0.46142689437667245-0.7210038930450267j),(-0.3893770188240566+0.23245654373299734j),(-0.23137125540312714+0.1427261731332229j),(-0.056644944201057375-0.027063009094929678j),(-0.056644944201057375-0.027063009094929827j),(-0.25486390648919643+0.15577365103131416j)
1312625250.501002,(0.004706069443114469+0.002877491124898046j),(-0.01109065734892245+0.006811631584114283j),(-0.6144868906497929-0.7445608895190889j),(-0.08974634677732163+0.06794153138392522j),(-0.5005876657824191-0.7030141373886729j),(-0.36570747449419416+0.2421063502186171j),(-0.21663625328683536+0.1482123092171568j),(-0.05694961243368681-0.020773376065207867j),(-0.056949612433686764-0.020773376065207752j),(-0.23881756798468057+0.16183557238538515j)
1320641282.5651302,(0.004724020376162652+0.002383009712028039j),(-0.010393760650371911+0.0070384095244183376j),(-0.6526820093809895-0.7119247353546008j),(-0.08246884517727089+0.06909157354792994j),(-0.5398600687087489-0.6826971223286225j),(-0.3407829669032193+0.2494708222039717j),(-0.20123214538987313+0.15224278835153246j),(-0.05641097033612026-0.01461380651298912j),(-0.05641097033612057-0.014613806512989547j),(-0.22201966669061707+0.16631960740036922j)
1328657314.6292586,(0.004676796151805995+0.0019063761574615312j),(-0.0096603317762302+0.007197056244736023j),(-0.6891898062704549-0.6772951573626329j),(-0.07510392003042782+0.06947858549292216j),(-0.5790931900562417-0.6598741499265284j),(-0.31479840943771276+0.2543537057865912j),(-0.18529083295784016+0.15471908939502058j),(-0.05504830810710658-0.00871050371805205j),(-0.05504830810710627-0.008710503718052078j),(-0.20461149651030058+0.16911320188449266j)
1336673346.6933868,(0.004567527071833444+0.0014575585619955866j),(-0.008896380889236548+0.0072806275454091254j),(-0.7239002431542987-0.6407527855369619j),(-0.06773132972989743+0.0690958959982235j),(-0.6180979844762664-0.6343727514585223j),(-0.28798359600425794+0.25656823626549075j),(-0.16896108197784118+0.1555514385864479j),(-0.052901129339016105-0.0031900170392197584j),(-0.052901129339015814-0.0031900170392195476j),(-0.18675384375631426+0.17011269367726625j)
1344689378.757515,(0.0044010359610257566+0.0010462609102535603j),(-0.008109339778890487+0.007282502798435321j),(-0.7567061268729645-0.6023853008703226j),(-0.06043146448653933+0.06794516999571115j),(-0.6566453658901004-0.606033578730178j),(-0.2606051846522023+0.25594363069010256j),(-0.15240898479048035+0.15466189754447143j),(-0.050030380491432054+0.0018241389299277033j),(-0.05003038049143201+0.001824138929927735j),(-0.16862766434826107+0.16922690314134245j)
1352705410.8216434,(0.00418388530794328+0.0006816104764299502j),(-0.007308123944818071+0.007196682216036199j),(-0.7875037057572558-0.5622875056402366j),(-0.05328447074876835+0.06603650723176824j),(-0.6944654685519422-0.5747183476729876j),(-0.23296751854620723+0.25233267568845796j),(-0.13581787070266968+0.15198790924407699j),(-0.046519118602656784+0.006215421016375461j),(-0.04651911860265665+0.0062154210163755524j),(-0.15043411859230582+0.16638127367614933j)
1360721442.8857715,(0.0039243633524578825+0.0003718085351118172j),(-0.006503133060116642+0.007018123374133253j),(-0.816193304459949-0.5205613256482877j),(-0.046369353817401135+0.06338844763564279j),(-0.7312484698225206-0.5403186702291776j),(-0.2054118885591097+0.24562024179204633j),(-0.11938748812813876+0.14748622133971134j),(-0.04247241731871422+0.009878672290444963j),(-0.04247241731871455+0.009878672290444708j),(-0.13239375424837205+0.16152246808797774j)
1368737474.9498997,(0.0036323934796294033+0.00012375619550353267j),(-0.005706174022300586+0.006743104889080295j),(-0.8426799879556796-0.47731573670883637j),(-0.03976306884870977+0.060027878265430754j),(-0.7666473660583744-0.5027654764341565j),(-0.1783138432374401+0.2357324217507325j),(-0.10333228202077437+0.1411370451190015j),(-0.038016310948652876+0.01272486986266029j),(-0.038016310948652446+0.012724869862659728j),(-0.11474463006537565+0.15462325489716167j)
1376753507.014028,(0.0033193531623058603-5.732685169312912e-05j),(-0.004930292715108021+0.006369599195132976j),(-0.8668742441342223-0.43266660893981856j),(-0.033539611603171926+0.05598983783063483j),(-0.8002830471739912-0.4620385782773933j),(-0.15207819832867606+0.22264584036421942j),(-0.08787861225081604+0.13294823990229404j),(-0.03329559848011559+0.014685984668787337j),(-0.03329559848011546+0.014685984668787462j),(-0.0977391976810317+0.14568743829256037j)
1384769539.0781562,(0.0029977928403307486-0.0001682669091941924j),(-0.0041895047768114035+0.005897630413336803j),(-0.8886926731590925-0.38673646391940925j),(-0.027769121353717632+0.05131721616661208j),(-0.831751912660008-0.41817577554518787j),(-0.1271315013122904+0.2063965323206851j),(-0.07326080655619267+0.12295924383031182j),(-0.028470380249542265+0.0157196558128894j),(-0.028470380249542463+0.015719655812889092j),(-0.0816398161098155+0.13475450465698535j)
1392785571.1422846,(0.0026810517838091186-0.00020825530611462417j),(-0.00349842235229722+0.005329588222743625j),(-0.9080586706987197-0.3396541415353664j),(-0.022517009268585145+0.04606034766345654j),(-0.8606361053794069-0.3712807735727321j),(-0.10391187322573876+0.18708765457326243j),(-0.05971601889486472+0.11124441289561585j),(-0.023711282659656226+0.01581331601868274j),(-0.023711282659656375+0.015813316018683105j),(-0.06671286359945908+0.12190358934110322j)
1400801603.2064128,(0.00238277705216966-0.00017908989315915114j),(-0.0028717828880785584+0.004670465529893416j),(-0.9249030913135368-0.2915543753619898j),(-0.017843126274894407+0.040276499526814016j),(-0.886516211567997-0.321529101152785j),(-0.0828563782845327+0.16489521839241145j),(-0.047477969391634935+0.09791539342971937j),(-0.019193439872769995+0.014987362895397536j),(-0.019193439872770078+0.01498736289539752j),(-0.05322153516779245+0.10725632448950596j)
1408817635.2705412,(0.002116362523199411-8.530697433323242e-05j),(-0.0023238969061080573+0.003927987718295053j),(-0.9391648777617752-0.24257727763610948j),(-0.013800984824027753+0.034029257857261436j),(-0.9089860008983295-0.2691712127241553j),(-0.06438634661315415+0.140071022365247j),(-0.03676976881248288+0.08312215239295896j),(-0.015089438431722568+0.013296967544022367j),(-0.015089438431722873+0.013296967544023442j),(-0.04141756262469877+0.09097812782954959j)
1416833667.3346694,(0.001894336461699564+6.582433589882863e-05j),(-0.0018680431988179272+0.0031126052882996733j),(-0.950791641841763-0.19286773733391074j),(-0.010437049043437657+0.027387816846667308j),(-0.9276684882090729-0.21453205673460418j),(-0.04889136786052427+0.1129420656105922j),(-0.02779616525316291+0.06705233594033025j),(-0.011561576816345119+0.010832159700347054j),(-0.01156157681634504+0.010832159700346393j),(-0.03153225165079915+0.07327754651692918j)
1424849699.3987975,(0.001727736565686977+0.00026446482548322936j),(-0.00151585036488649+0.0022373302257180754j),(-0.9597401826958523-0.14257473741473858j),(-0.00779010739183751+0.02042617884613279j),(-0.942232330267184-0.15800660406144942j),(-0.036712941867502784+0.08390593266251656j),(-0.020735674264783763+0.049928725528606444j),(-0.008753926214334167+0.00771593332335503j),(-0.008753926214333681+0.007715933323355906j),(-0.023767374994556664+0.05440338598004289j)
