f,S11,S12,S21,S22
2600000.974,(0.006989723864243506+0.04672778100346203j),(0.005253584958928693+0.02894063227156389j),(0.005253584958928683+0.02894063227156385j),(0.006927292628951689+0.046662807556360986j)
2650000.9735,(0.007247296990007979+0.04759221637415443j),(0.005436978706782557+0.029467571693246385j),(0.0054369787067825555+0.029467571693246365j),(0.007183907275923886+0.047527010592389944j)
2700000.9729999998,(0.007509392611664261+0.04845491016188815j),(0.005623440404257826+0.029993085816479987j),(0.005623440404257824+0.02999308581647997j),(0.007445046184779941+0.048389487474973306j)
2750000.9724999997,(0.007775996684347453+0.04931583483657268j),(0.005812958060845587+0.030517153600956717j),(0.005812958060845582+0.03051715360095669j),(0.00771069534683365+0.04925021044873804j)
2800000.972,(0.008047094912858105+0.050174962986323485j),(0.006005519436288604+0.03103975410353237j),(0.0060055194362886+0.031039754103532352j),(0.007980840505555597+0.050109151885235015j)
2850000.9715,(0.008322672755621615+0.0510322673220584j),(0.0062011120461550615+0.03156086648353448j),(0.006201112046155055+0.031560866483534455j),(0.008255467160313515+0.0509662842869482j)
2900000.971,(0.008602715428500456+0.05188772068187699j),(0.006399723167153232+0.0320804700077861j),(0.006399723167153226+0.03208047000778606j),(0.008534560570003123+0.051821580291129585j)
2950000.9705,(0.008887207908515127+0.05274129603523187j),(0.00660133984221335+0.03259854405536766j),(0.006601339842213344+0.03259854405536764j),(0.008818105756578695+0.05267501267347352j)
3000000.9699999997,(0.009176134937451284+0.05359296648691468j),(0.006805948885360504+0.033115068122138415j),(0.006805948885360518+0.03311506812213847j),(0.009106087508504761+0.053526554351639104j)
3050000.9694999997,(0.00946948102537895+0.05444270528086627j),(0.00701353688639946+0.033630021825035515j),(0.007013536886399454+0.03363002182503549j),(0.00939849038412531+0.054376178388634046j)
3100000.969,(0.009767230454098528+0.05529048580382442j),(0.00722409021542992+0.03414338490616696j),(0.007224090215429912+0.034143384906166946j),(0.009695298714962242+0.05522385799606883j)
3150000.9685,(0.010069367280505743+0.05613628158882135j),(0.007437595027209115+0.03465513723671421j),(0.007437595027209117+0.03465513723671423j),(0.009996496608956162+0.05606956653728711j)
3200000.968,(0.010375875339899641+0.0569800663185386j),(0.007654037265376237+0.03516525882065647j),(0.0076540372653762356+0.03516525882065646j),(0.010302067953656797+0.05691327753038156j)
3250000.9675,(0.010686738249232646+0.05782181382852974j),(0.007873402666552152+0.03567372979832939j),(0.00787340266655214+0.03567372979832933j),(0.010611996419359278+0.05775496465110116j)
3300000.9669999997,(0.01100193941031332+0.0586614981103177j),(0.008095676764326123+0.03618053044982848j),(0.008095676764326121+0.03618053044982847j),(0.01092626546219973+0.058594601735656324j)
3350000.9665,(0.011321462012950168+0.05949909331437685j),(0.008320844893140349+0.036685641198267546j),(0.008320844893140352+0.03668564119826753j),(0.011244858327215567+0.05943216278342657j)
3400000.966,(0.011645289038080462+0.060334573753000026j),(0.008548892192081497+0.03718904261289973j),(0.00854889219208149+0.0371890426128997j),(0.011567758051370211+0.06026762195957569j)
3450000.9655,(0.011973403260835454+0.06116791390306462j),(0.00877980360858808+0.03769071541211027j),(0.008779803608588072+0.037690715412110234j),(0.011894947466544487+0.06110095359757948j)
3500000.965,(0.012305787253597515+0.06199908840869504j),(0.00901356390208116+0.038190640466287396j),(0.009013563902081157+0.03819064046628737j),(0.01222640920251402+0.06193213220166762j)
3550000.9645,(0.0126424233890102+0.06282807208383276j),(0.009250157647525376+0.038688798800578184j),(0.009250157647525367+0.038688798800578156j),(0.012562125689883713+0.06276113244918867j)
3600000.9639999997,(0.012983293842974862+0.06365483991471435j),(0.009489569238926347+0.039185171597535075j),(0.009489569238926337+0.03918517159753504j),(0.012902079163019334+0.06358792919289337j)
3650000.9635,(0.013328380597618513+0.06447936706226272j),(0.009731782892770175+0.03967974019965856j),(0.009731782892770154+0.0396797401996585j),(0.013246251662951878+0.0644124974631466j)
3700000.963,(0.013677665444246553+0.06530162886439478j),(0.009976782651409962+0.04017248611184089j),(0.009976782651409968+0.04017248611184091j),(0.01359462504026504+0.06523481247006718j)
3750000.9625,(0.014031129986265383+0.06612160083825173j),(0.010224552386404002+0.04066339100371565j),(0.010224552386403987+0.04066339100371559j),(0.013947180957971983+0.06605484960559771j)
3800000.962,(0.014388755642106373+0.06693925868234864j),(0.01047507580180937+0.04115243671191604j),(0.01047507580180936+0.04115243671191602j),(0.014303900894376475+0.06687258444550813j)
3850000.9614999997,(0.014750523648120517+0.06775457827865257j),(0.010728336437435104+0.04163960524224769j),(0.010728336437435102+0.04163960524224768j),(0.014664766145922523+0.06768799275133469j)
3900000.9609999997,(0.01511641506146767+0.06856753569458887j),(0.010984317672057776+0.042124878771777445j),(0.010984317672057776+0.04212487877177743j),(0.01502975783003763+0.06850105047225447j)
3950000.9605,(0.01548641076298728+0.06937810718497762j),(0.011243002726602743+0.04260823965084234j),(0.011243002726602738+0.042608239650842344j),(0.015398856887954995+0.06931173374690168j)
4000000.96,(0.015860491460066385+0.07018626919390354j),(0.011504374667293552+0.043089670404981587j),(0.011504374667293555+0.0430896704049816j),(0.01577204408754837+0.07012001890511986j)
4050000.9595,(0.016238637689493577+0.07099199835652001j),(0.011768416408772117+0.04356915373679393j),(0.011768416408772122+0.043569153736793924j),(0.016149300026135373+0.07092588246966124j)
4100000.959,(0.016620829820300127+0.07179527150079137j),(0.012035110717191582+0.044046672527723145j),(0.012035110717191568+0.04404667252772311j),(0.01653060513329098+0.07172930115782435j)
4150000.9584999997,(0.017007048056603694+0.07259606564917159j),(0.012304440213283942+0.04452220983977371j),(0.012304440213283925+0.044522209839773653j),(0.016915939673650033+0.07253025188303953j)
4200000.958,(0.017397272440430274+0.07339435802022544j),(0.012576387375404254+0.04499574891715901j),(0.012576387375404246+0.04499574891715898j),(0.01730528374970481+0.0733287117563975j)
4250000.9575,(0.017791482854542056+0.07419012603018872j),(0.012850934542552853+0.045467273187884155j),(0.012850934542552858+0.04546727318788417j),(0.017698617304586373+0.07412465808812921j)
4300000.9569999995,(0.01818965902525326+0.07498334729447252j),(0.01312806391737684+0.04593676626526438j),(0.01312806391737684+0.045936766265264384j),(0.01809592012486442+0.074918068389026j)
4350000.956499999,(0.018591780525234282+0.07577399962911266j),(0.01340775756915253+0.046404211949382095j),(0.013407757569152523+0.046404211949382046j),(0.01849717184332066+0.07570892037181565j)
4400000.956,(0.018997826776324993+0.07656206105216098j),(0.013689997436749382+0.04686959422848278j),(0.013689997436749384+0.04686959422848278j),(0.0189023519417268+0.07649719195248454j)
4450000.9555,(0.01940777705232336+0.07734750978502762j),(0.013974765331576955+0.04733289728031251j),(0.013974765331576943+0.04733289728031247j),(0.019311439753617966+0.07728286125155052j)
4500000.955,(0.019821610481787537+0.07813032425376587j),(0.014262042940515276+0.04779410547339727j),(0.014262042940515267+0.04779410547339723j),(0.01972441446706028+0.0780659065952879j)
4550000.9545,(0.02023930605080954+0.07891048309031161j),(0.014551811828829787+0.048253203368266336j),(0.014551811828829801+0.04825320336826638j),(0.020141255127416772+0.07884630651690366j)
4600000.954,(0.020660842605815147+0.07968796513366351j),(0.014844053443071136+0.04871017571862036j),(0.014844053443071135+0.04871017571862035j),(0.02056194064010857+0.0796240397576661j)
4650000.9535,(0.021086198856331197+0.08046274943102151j),(0.015138749113960666+0.04916500747244534j),(0.01513874911396066+0.04916500747244533j),(0.020986449773370518+0.08039908526798736j)
4700000.953,(0.021515353377751883+0.08123481523887308j),(0.015435880059262278+0.04961768377307429j),(0.015435880059262278+0.04961768377307429j),(0.02141476116099409+0.0811714222084623j)
4750000.9525,(0.02194828461412078+0.08200414202402866j),(0.01573542738664031+0.050068189960196095j),(0.01573542738664035+0.050068189960196186j),(0.021846853305095355+0.08194102995085498j)
4800000.952,(0.02238497088086976+0.08277070946461679j),(0.01603737209650515+0.050516511570814965j),(0.01603737209650514+0.05051651157081492j),(0.02228270457883508+0.0827078880790497j)
4850000.9514999995,(0.022825390367598945+0.08353449745102272j),(0.016341695084845027+0.05096263434015789j),(0.016341695084845023+0.05096263434015788j),(0.022722293229169847+0.08347197638995078j)
4900000.950999999,(0.02326952114081269+0.08429548608678884j),(0.016648377146046302+0.05140654420253509j),(0.0166483771460463+0.05140654420253508j),(0.023165597379582473+0.08423327489434122j)
4950000.9505,(0.02371734114665868+0.08505365568946885j),(0.016957398975700744+0.051848227292150856j),(0.016957398975700755+0.05184822729215088j),(0.02361259503281566+0.08499176381769692j)
5000000.95,(0.024168828213680313+0.08580898679143124j),(0.017268741173400916+0.052287669943867555j),(0.017268741173400964+0.05228766994386767j),(0.024063264073581236+0.08574742360096235j)
5050000.9495,(0.024623960055537224+0.08656146014062661j),(0.017582384245523476+0.0527248586939228j),(0.01758238424552345+0.05272485869392271j),(0.02451758227129431+0.08650023490127641j)
5100000.949,(0.025082714273739308+0.08731105670130365j),(0.017898308608000135+0.05315978028060025j),(0.017898308608000155+0.0531597802806003j),(0.024975527282771904+0.08725017859266582j)
5150000.9485,(0.02554506836035849+0.08805775765468904j),(0.018216494589077353+0.05359242164485652j),(0.018216494589077387+0.05359242164485659j),(0.025437076654947655+0.08799723576668828j)
